objectid,filename,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb,image_alt_text,object_transcript
TPC-JKB-001,TPC-JKB-001.jpg,"White Dining Room of Peter's Palace, Leningrad, U.S.S.R.",,,"Petrodvorets The Great Palace. The White Dining Room. 1774-75 Designed by Yuro Velten Interior restored in 1965. The Great Palace. The White Dining Room. Photograph of 1948. (c) Aurora Art Publishers, Leningrad, 1988 Printed in the USSR",picture postcards,Leningrad USSR,37.52495,62.047485,Digitized from personal collection.,TPC-JKB-001,Image;StillImage,image/jpeg,English,,,image,/objects/TPC-JKB-001.jpg,/objects/TPC-JKB-001.jpg,/objects/TPC-JKB-001.jpg,alt,
TPC-JKB-002,TPC-JKB-002.jpg,Chief of the Underseas Kingdom Mask,McMichael Collection d'Art Canadien,,"Hand carved mask attributed to Kwakiutl artist Charlie George, Sr. depicting Chief Xilx'idi ""Throws Away A Blanket"" Kumugwe ""Wealthy One"", entitled Chief of the Underseas Kingdom Mask.",picture postcards,Montreal Canada,45.50169,-73.567253,Digitized from personal collection.,TPC-JKB-002,Image;StillImage,image/jpeg,English,,,image,/objects/TPC-JKB-002.jpg,/objects/TPC-JKB-002.jpg,/objects/TPC-JKB-002.jpg,alt,
TPC-JKB-003,TPC-JKB-003.jpg,Salisbury Cathedral,Atmosphere Publishing Ltd.,,"Salisbury Cathedral - Wiltshire Atmosphere Publishing Ltd Photographed by Bob Coxford Images of England Tel (01326)240180",picture postcards,Salisbury England,51.067402,-1.79763,Digitized from personal collection.,TPC-JKB-003,Image;StillImage,image/jpeg,English,,,image,/objects/TPC-JKB-003.jpg,/objects/TPC-JKB-003.jpg,/objects/TPC-JKB-003.jpg,alt,
TPC-JKB-004,TPC-JKB-004.jpg,"Stonehenge",Historic England/English Heritage Trust,,"English Heritage Stonehenge The great and ancient stone circle of Stonehenge is unique: an exceptional survival from a prehistoric culture now lost to us. The monument was built between 3,000 and 1,000 BC and is aligned with the rising and setting sun at the solstices. However, its exact purpose remains a mystery. (c) Historic England/English Heritage Trust
english-heritage.org.uk",picture postcards,,51.178883,-1.826215,Digitized from personal collection.,TPC-JKB-004,Image;StillImage,image/jpeg,English,,,image,/objects/cTPC-JKB-004.jpg,/objects/cTPC-JKB-004.jpg,/objects/cTPC-JKB-004.jpg,alt,
TPC-JKB-005,TPC-JKB-005.jpg,"Fountain of Neptune in Navona Square, Rome, Italy",Edizioni Indaco S.N.C.,,"Roma Piazza Navona Navona Square Place Navona Navona-Platz 
(c) Edizioni Indaco S.N.C.

Fotolibri su Roma di G. Gasponi:
Roma Ancora
Roma: La Pietra e l'Acqua
I Volti di Roma
Roma: Il Fascino dell'Arte e della Storia

Photobooks by G. Gasponi:
Rome Revealed
Rome: Water and Stone
Portrait of Rome
Rome: Fascination of Art and History",picture postcards,Rome Italy,41.89332,12.482932,Digitized from personal collection.,TPC-JKB-005,Image;StillImage,image/jpeg,"English
Italian
German
French",,,image,/objects/TPC-JKB-005.jpg,/objects/TPC-JKB-005.jpg,/objects/TPC-JKB-005.jpg,alt,
TPC-JKB-006,TPC-JKB-006.jpg,"Angkor Wat in Siem Reap, Cambodia",,,"Siem Reap Angkor Wat (XIIe S) PhotoL Chea Ravy

Cambodge ??????? Cambodia

View of Angkor Wat coming in from main walkway, over moat.
",picture postcards,Angkor Wat Cambodia,13.37622,102.463722,Digitized from personal collection.,TPC-JKB-006,Image;StillImage,image/jpeg,"Khmer
French
English",,,image,/objects/TPC-JKB-006.jpg,/objects/TPC-JKB-006.jpg,/objects/TPC-JKB-006.jpg,alt,
TPC-JKB-007,TPC-JKB-007.jpg,Statue of Liberty and the Twin Towers,Impact Photo Graphics,,"New York
#5066 New York City
Photographer - Dennis Hallinan/FPG 

(c) Impact, Designed & Distributed in the U.S.A. Printed in Korea

www.impactphotographics.com

This Area for Official Postal Use Only. ",picture postcards,New York City New Yorl USA,40.712728,-74.006015,Digitized from personal collection.,TPC-JKB-007,Image;StillImage,image/jpeg,English,,,image,/objects/TPC-JKB-007.jpg,/objects/TPC-JKB-007.jpg,/objects/TPC-JKB-007.jpg,alt,
TPC-JKB-008,TPC-JKB-008.jpg,"Lake Mary in Big Cottonwood Canyon, Utah",Great Mountain West Supply,,,picture postcards,Lake Mary Conttonwood Canyon Utah USA,40.589137,-111.589676,Digitized from personal collection.,TPC-JKB-008,Image;StillImage,image/jpeg,English,,,image,/objects/TPC-JKB-008.jpg,/objects/TPC-JKB-008.jpg,/objects/TPC-JKB-008.jpg,alt,
TPC-JKB-009,TPC-JKB-009.jpg,"Narodni Divadlo in Prague, Czechoslovakia.",Press CTK Foto,bef 1993,"Narodni Divaldo
Foyer na 1 galerii s upravami z roku 1952 se sedmi krajinami Vincence Bense (Boudin, Zlaty, Kun, Vysehrad, Rip, Prachensko, Cerchov, Redhosf)

Vydavatelstvi Press CTK Foto Praha

Foto Karel a Jan Neubertovi

National Theater
Foyer of the 1st gallery with arrangements from 1952 with seven landscapes by Vincenc Bens (Boudin, Zlaty, Kun, Vysehrad, Rip, Prachensko, Cerchov, Redhosf)

Publishers Press CTK Photo Prague

Photo Karel and Jan Neubertovi

[NOTE: Translated from Czech into English by Google Translate}",picture postcards,Prague Czechoslovakia,50.059629,14.446459,Digitized from personal collection.,TPC-JKB-009,Image;StillImage,image/jpeg,"English
Czech",,,image,/objects/TPC-JKB-009.jpg,/objects/TPC-JKB-009.jpg,/objects/TPC-JKB-009.jpg,alt,
TPC-JKB-010,TPC-JKB-010.jpg,Tahiti,"Pacific Promotion, Tahiti",,"Post Cards
Teva Sylvain

907
Une maisonette au bord du lagon entouree d'arbres flamboyents. De quoi rever!

A little house on the edge of the lagoon, surrounded by flamboyant trees. A dream come true! [NOTE: Translated by Google Translate.}

Printed in U.S.A.

Produced by Pacific Promotion, Tahiti
Photo: T. Sylvain(c)",picture postcards,Tahiti,-17.687344,-149.445168,Digitized from personal collection.,TPC-JKB-010,Image;StillImage,image/jpeg,"English
France",,,image,/objects/TPC-JKB-010.jpg,/objects/TPC-JKB-010.jpg,/objects/TPC-JKB-010.jpg,alt,
TPC-JKB-011,TPC-JKB-011.jpg,"Royal Barge  on the Chao Phraya River in Bangkok, Thailand",TST,,"The royal barge ""Sri-suphan-nahongs"" on the Chao Phraya River in Bangkok, Thailand. The barge is a large wooden carved barge with a phoenix head covered in gold leaf and is being rowed by at least twenty sailors dressed in red. There is a covered platform in the center of the barge for royalty.

The Royal Barge ""Sri-Suphan-Nahongs"" in Bangkok.",picture postcards,Bangkok Thailand,13.82458,100.622446,Digitized from personal collection.,TPC-JKB-011,Image;StillImage,image/jpeg,"English
Thai",TST,,image,/objects/TPC-JKB-011.jpg,/objects/TPC-JKB-011.jpg,/objects/TPC-JKB-011.jpg,alt,
